"Word","Length","SUBTLWF","POS"
"abandon","7","8.10","VB|NN"
"abandoned","9","13.29","VB|JJ"
"abilities","9","6.12","NN"
"ability","7","19.22","NN"
"aboard","6","26.63","minor|RB"
"abortion","8","7.24","NN"
"Abraham","7","5.18","NN"
"absence","7","6.31","NN"
"absolute","8","11.31","JJ|NN"
"absolutely","10","113.12","RB"
"absurd","6","9.71","JJ|NN"
"academy","7","12.41","NN"
"accept","6","52.78","VB"
"acceptable","10","5.27","JJ"
"accepted","8","15.71","VB|JJ"
"access","6","31.67","NN|VB"
"accident","8","81.29","NN"
"accidents","9","6.67","NN"
"accomplish","10","5.84","VB"
"according","9","41.86","VB|NN"
"account","7","44.71","NN|VB"
"accountant","10","6.18","NN"
"accounts","8","10.47","NN|VB"
"achieve","7","7.33","VB"
"accurate","8","7.84","JJ"
"accuse","6","5.69","VB"
"accused","7","13.06","VB|NN|JJ"
"across","6","94.14","minor"
"active","6","11.45","JJ"
"activities","10","8.61","NN"
"activity","8","12.88","NN"
"actress","7","16.02","NN"
"actual","6","17.33","JJ|NN"
"wondered","8","14.90","VB"
"wonderful","9","164.00","JJ"
"wondering","9","63.35","VB|NN"
"worried","7","94.73","VB|JJ"
"worries","7","10.61","NN|VB"
"worrying","8","16.22","VB|NN|JJ"
"worship","7","8.02","NN|VB"
"worthless","9","9.27","JJ"
"worthy","6","10.33","JJ"
"wrestling","9","8.75","VB|NN"
"written","7","44.06","VB|JJ"
"yacht","5","8.22","NN"
"Yankee","6","9.00","NN"
"Yankees","7","6.06","NN"
"yesterday","9","96.76","NN|RB"
"younger","7","24.65","JJ"
"youngest","8","5.00","JJ"
"yourselves","10","29.00","minor"
"wherever","8","29.41","minor"
"whether","7","67.14","minor"
"whiskey","7","16.12","NN"
"whisper","7","7.90","NN|VB"
"whispering","10","8.10","VB"
"whispers","8","5.49","NN|VB"
"whistle","7","15.45","NN"
"whistling","9","5.12","VB"
"whoever","7","43.20","minor"
"widow","5","12.10","NN"
"William","7","32.41","NN"
"Willie","6","21.43","NN"
"Wilson","6","23.27","NN"
"Winchester","10","6.43","NN"
"window","6","86.00","NN"
"windows","7","23.33","NN"
"wisdom","6","11.08","NN"
"withdraw","8","6.61","VB"
"within","6","59.16","minor|NN"
"witness","7","51.39","NN|VB"
"witnessed","9","5.71","VB"
"witnesses","9","19.71","NN|VB"
"wizard","6","10.63","NN"
"wandering","9","7.90","VB|NN"
"wardrobe","8","6.47","NN"
"warehouse","9","9.98","NN"
"warrant","7","20.78","NN|VB"
"warrior","7","10.12","NN"
"warriors","8","6.59","NN"
"Washington","10","42.00","NN"
"Watson","6","20.90","NN"
"weakness","8","8.90","NN"
"wealthy","7","7.37","JJ"
"weapon","6","46.65","NN"
"weapons","7","40.49","NN"
"Webster","7","6.31","NN"
"Wednesday","9","18.27","NN"
"weekend","7","61.14","NN"
"weekends","8","7.39","NN"
"welcome","7","179.22","JJ|VB|NN"
"welfare","7","7.88","NN"
"Wesley","6","11.20","NN"
"western","7","13.31","JJ|NN"
"whatsoever","10","9.22","minor|RB|NN"
"wheelchair","10","6.20","NN"
"whenever","8","35.10","minor"
"vicious","7","8.59","JJ|NN"
"victim","6","47.73","NN"
"victims","7","23.45","NN"
"victor","6","17.82","NN"
"Victoria","8","7.35","NN"
"victory","7","21.45","NN"
"video","5","41.27","NN|VB"
"videotape","9","5.18","NN"
"Vietnam","7","16.02","NN"
"Vietnamese","10","5.10","JJ|NN"
"village","7","33.57","NN"
"Vincent","7","18.55","NN"
"violation","9","7.55","NN"
"violence","8","23.00","NN"
"violent","7","16.67","JJ"
"violet","6","8.04","NN"
"Virgil","6","6.61","NN"
"virgin","6","18.84","JJ|NN"
"Virginia","8","14.08","NN"
"virtue","6","5.16","NN"
"virus","5","18.90","NN"
"vision","6","23.88","NN"
"visions","7","8.24","NN"
"visited","7","6.86","VB"
"visiting","8","15.43","VB"
"visitor","7","8.75","NN"
"visitors","8","9.92","NN"
"visual","6","11.49","JJ|NN"
"Vivian","6","5.90","NN"
"vodka","5","10.10","NN"
"volume","6","6.94","NN"
"volunteer","9","9.31","NN|VB"
"volunteers","10","5.16","NN|VB"
"vomit","5","5.33","VB|NN"
"voyage","6","6.00","NN|VB"
"vulnerable","10","8.57","JJ"
"waitress","8","11.53","NN"
"urgent","6","14.86","JJ|NN"
"useful","6","13.12","JJ|NN"
"useless","7","19.94","JJ"
"usual","5","37.24","JJ|NN"
"usually","7","63.02","RB"
"vacation","8","32.80","NN|VB"
"vacuum","6","5.76","NN|VB"
"vagina","6","5.06","NN"
"valentine","9","15.06","NN"
"valuable","8","15.59","JJ"
"vampire","7","17.53","NN"
"vampires","8","9.00","NN"
"vanished","8","5.55","VB"
"variety","7","5.76","NN"
"various","7","8.94","JJ|NN"
"vegetable","9","5.71","NN"
"vegetables","10","6.63","NN"
"vehicle","7","22.61","NN"
"vehicles","8","6.00","NN"
"velvet","6","6.27","NN"
"vengeance","9","5.41","NN"
"Venice","6","6.51","NN"
"verdict","7","10.94","NN"
"Veronica","8","11.51","NN"
"version","7","16.24","NN"
"versus","6","8.06","minor"
"vessel","6","9.35","NN"
"unpleasant","10","6.10","JJ"
"unstable","8","5.10","JJ"
"unusual","7","23.73","JJ"
"upon","4","62.73","minor|NN"
"upside","6","9.29","RB|NN"
"upstairs","8","70.73","NN"
"underneath","10","16.25","minor|NN"
"understood","10","32.14","VB|NN"
"underwater","10","6.33","JJ|NN"
"underwear","9","21.67","NN"
"unexpected","10","8.78","JJ"
"unfair","6","9.84","JJ|NN"
"unhappy","7","16.53","JJ"
"uniform","7","24.82","NN|JJ"
"uniforms","8","7.90","NN"
"unique","6","13.65","JJ|NN"
"universal","9","5.86","JJ|NN"
"universe","8","25.27","NN"
"university","10","23.59","NN"
"unknown","7","15.18","JJ|NN"
"unless","6","113.69","minor"
"unlike","6","10.39","minor"
"unlikely","8","5.06","JJ|RB"
"unlock","6","5.49","VB"
"twelve","6","18.82","minor|NN"
"twenty","6","27.02","minor|NN"
"Tyler","5","13.90","NN"
"typical","7","12.59","JJ"
"ugly","4","42.16","JJ"
"ultimate","8","9.02","JJ|NN"
"ultimately","10","5.65","RB"
"umbrella","8","7.49","NN"
"undercover","10","11.73","JJ|NN"
"transport","9","11.20","NN"
"trauma","6","17.04","NN"
"traveled","8","6.73","VB"
"traveling","9","14.20","VB"
"travels","7","5.65","VB|NN"
"treason","7","5.08","NN"
"treasure","8","19.06","NN"
"treatment","9","19.31","NN"
"tremendous","10","8.45","JJ"
"tribute","7","5.24","NN"
"trigger","7","16.88","NN|VB"
"trophy","6","7.55","NN"
"troubled","8","6.78","JJ|VB"
"troubles","8","11.63","NN|VB"
"trousers","8","5.16","NN"
"truly","5","35.88","RB"
"Tuesday","7","23.65","NN"
"tunnel","6","17.88","NN"
"turkey","6","22.61","NN"
"tongue","6","31.16","NN"
"toothbrush","10","5.00","NN"
"torpedo","7","6.39","NN"
"torture","7","15.92","NN|VB"
"tortured","8","7.47","VB"
"totally","7","85.82","RB"
"touching","8","17.41","VB|NN"
"tougher","7","5.41","JJ"
"tourists","8","5.41","NN"
"tournament","10","9.10","NN"
"towards","7","27.43","minor"
"tradition","9","13.67","NN"
"traffic","7","28.51","NN"
"tragedy","7","14.18","NN"
"tragic","6","12.24","JJ|NN"
"traitor","7","10.59","NN"
"transcript","10","13.82","NN"
"transfer","8","20.55","NN"
"transplant","10","5.10","NN"
"thirty","6","17.18","minor|NN"
"Thomas","6","32.08","NN"
"Thompson","8","9.31","NN"
"thoughtful","10","7.80","JJ"
"thoughts","8","33.39","NN"
"thousand","8","69.29","minor|NN"
"thousands","9","27.65","NN"
"threaten","8","8.53","VB"
"threatened","10","16.57","VB|JJ"
"threats","7","6.65","NN"
"thrilled","8","11.06","VB|JJ"
"throughout","10","10.75","minor"
"throwing","8","29.18","VB|NN"
"thrown","6","20.53","VB"
"thunder","7","13.31","NN|VB"
"Thursday","8","24.16","NN"
"tissue","6","10.73","NN"
"tobacco","7","6.98","NN"
"Tokyo","5","13.53","NN"
"tolerate","8","6.94","VB"
"tomato","6","5.90","NN"
"telephone","9","32.37","NN|VB"
"television","10","33.90","NN"
"temporary","9","13.04","JJ"
