response,semantic_cue_1,semantic_cue_2,semantic_cue_3,episodic_cue
ability,capability,competence,skill,commander
action,movement,reaction,verb,bonus
allow,permit,let,permission,rash
anger,rage,hostility,fury,moment
animal,zoo,beast,farm,letters
answer,question,reply,response,maximum
area,region,surrounding,surface,cannon
argue,debate,disagree,quarrel,dynamite
army,navy,sergeant,recruit,possession
artist,con,painter,creativity,hood
awake,asleep,alert,conscious,tongue
ball,racquet,bounce,soccer,companion
bank,teller,account,deposit,carnival
baseball,league,umpire,pitch,feather
basement,cellar,attic,downstairs,bartender
basketball,dunk,hoop,gym,women
bath,tub,robe,bubble,absence
beach,sand,shore,shell,designer
bear,grizzly,cub,fuzzy,detective
beard,whiskers,mustache,shave,adults
beer,keg,pub,draft,noise
below,above,beneath,under,agent
bike,pedal,cycle,motorcycle,destiny
bill,dollar,phone,payment,artery
bird,chirp,sparrow,bluejay,forest
black,white,gray,brown,bull
blame,fault,accuse,scapegoat,attitude
blood,plasma,donor,vein,cell
board,chalk,bulletin,dart,desk
boat,row,oar,yacht,bishop
body,anatomy,physiology,corpse,instinct
bomb,atomic,atom,explode,colonel
bone,marrow,skeleton,hip,community
book,text,library,chapter,conference
boring,monotonous,dull,interesting,violence
boss,supervisor,employer,manager,economy
boyfriend,girlfriend,lover,sweetheart,dime
brain,mind,neuron,think,rodeo
brave,courageous,courage,daring,conscience
bread,rye,loaf,butter,cookie
breathe,respiration,lung,air,chili
building,architecture,skyscraper,structure,bracelet
bush,shrub,hedge,thicket,ankle
butterfly,cocoon,caterpillar,moth,baggage
buyer,seller,consumer,owner,poetry
cake,icing,frosting,bake,haircut
calm,serene,relaxed,patience,aircraft
card,credit,charge,poker,brandy
carry,tote,haul,bring,path
cereal,oatmeal,bran,fiber,bureau
chair,table,recliner,seat,chaos
cheap,inexpensive,expensive,stingy,monster
cheese,cheddar,swiss,macaroni,actress
chicken,hen,fried,rooster,audience
child,kid,adult,abuse,mustard
choice,option,selection,decision,affection
church,cathedral,steeple,chapel,weakness
cigarette,nicotine,ashtray,menthol,scissors
circus,juggler,clown,acrobat,cigar
city,town,newyork,suburb,moose
class,session,schedule,course,explosion
clean,spotless,hygiene,scrub,policy
clear,clarify,transparent,vivid,campus
cliff,ledge,edge,precipice,receipt
clock,alarm,time,pendulum,dozen
clothes,wardrobe,attire,outfit,chess
coat,jacket,mink,fur,emperor
coffee,caffeine,tea,cafe,dollars
cold,chill,hot,shiver,activity
college,university,degree,highschool,defense
color,hue,crayon,pigment,cord
computer,printer,data,technology,brick
cook,chef,apron,spatula,intent
cool,refreshing,fan,awesome,coward
copy,xerox,duplicate,carbon,percent
corn,cob,husk,crops,mister
correct,accurate,incorrect,right,agenda
couch,sofa,cushion,livingroom,technique
country,nation,rural,state,discussion
court,judge,jury,trial,resistance
crime,punishment,witness,violent,director
criminal,suspect,fugitive,outlaw,judgment
cure,remedy,treatment,antidote,deputy
dance,ballet,ballerina,prom,bean
danger,hazard,risk,beware,farmer
deer,doe,antlers,fawn,hockey
desert,camel,oasis,mirage,quest
destroy,demolish,ruin,annihilate,pork
dirt,soil,filth,mud,apple
disappear,vanish,reappear,appear,prince
disease,malaria,infection,aids,burglar
dish,plate,china,bowl,servant
dream,fantasy,nightmare,imagine,dove
dress,gown,skirt,hem,congress
drive,license,steer,car,affair
driver,chauffeur,screw,truck,chamber
drug,addiction,prescription,heroine,evening
drunk,intoxicated,sober,intoxicate,trauma
eggs,omelet,scrambled,poach,factory
elephant,tusk,peanuts,trunk,beauty
embarrass,humiliate,blush,ashamed,architect
empty,full,blank,vacancy,carpenter
enemy,foe,opponent,friend,behavior
evil,wicked,villain,demon,birthday
exit,entrance,enter,entry,foundation
explain,describe,definition,elaborate,lust
fail,flunk,pass,succeed,dessert
faint,passout,dizzy,swoon,memories
fake,phony,real,pretend,carriage
fall,stumble,slip,tumble,eagle
fashion,trend,style,fad,salesman
fast,swift,rapid,slow,project
female,male,gender,sex,elevator
field,meadow,plow,prairie,depression
finish,done,start,complete,buffalo
fish,trout,tuna,salmon,faith
flag,banner,allegiance,patriotic,title
floor,tile,mop,ceiling,mattress
flower,tulip,petals,orchid,heel
food,cafeteria,groceries,meal,assistant
football,touchdown,stadium,tackle,emotion
forever,eternity,infinity,eternal,daisy
forward,backward,advance,ahead,cocaine
freedom,liberty,america,usa,authority
fries,french,hamburger,potatoes,bass
front,back,behind,side,fact
fruit,kiwi,pear,raspberry,valley
funeral,burial,wake,memorial,bullock
garbage,trash,dump,waste,dice
ghost,ghoul,goblin,phantom,opinion
glasses,lens,nerd,cups,pearl
glue,paste,sticky,stuck,policeman
goal,objective,ambition,achievement,cemetery
gold,silver,jewelry,bronze,coal
goose,gander,geese,duck,concept
government,legislature,federal,anarchy,culture
grab,reach,snatch,tag,comedy
green,plants,emerald,grass,afternoon
gross,disgusting,yuck,disgust,assignment
group,committee,bunch,organization,waitress
guilty,innocent,innocence,plead,argument
hair,strand,brush,scalp,manner
hallway,corridor,hall,breezeway,tobacco
hammer,nail,tool,chisel,confidence
headache,migraine,aspirin,excedrin,briefcase
heat,warmth,radiator,temperature,grandpa
heaven,angel,hell,stairway,basket
hide,mask,disguise,cover,superman
high,low,stoned,soar,creation
hole,doughnut,ditch,pit,canal
honest,truthful,sincerity,sincere,auto
honor,valor,tribute,dignity,passion
horn,honk,bugle,trumpet,sailor
horse,saddle,pony,mare,truth
hospital,ambulance,patient,nurse,corporal
hotel,inn,motel,suite,industry
hunger,famine,thirst,crave,jock
hungry,starving,famished,starve,guest
hurricane,tornado,typhoon,cyclone,cowboy
hurry,rush,hustle,impatient,empire
ignore,disregard,neglect,avoid,heroin
island,adventure,paradise,hawaii,clinic
jail,prison,arrest,inmate,armor
jelly,peanutbutter,jam,petroleum,shelf
jump,leap,hop,skip,luxury
king,throne,queen,crown,cabin
knife,dagger,stab,fork,difference
knowledge,insight,information,know,cattle
land,acre,property,territory,document
language,spanish,english,latin,helicopter
laugh,giggle,joke,tickle,apology
lawyer,attorney,lawsuit,legal,addition
leader,follower,chairperson,chief,cards
learn,teach,educate,lesson,gangster
legs,arms,knees,pantyhose,fireplace
less,more,decrease,reduce,division
letter,envelope,stamp,note,lemonade
liar,untruthful,dishonest,traitor,commitment
light,bulb,lamp,darkness,chest
lightning,thunder,bolt,volt,cheek
lion,roar,leo,tiger,lawn
lock,key,combination,latch,creature
lose,win,find,gain,neighbor
lunch,breakfast,bag,noon,employee
machine,copier,robot,mechanical,pajamas
makeup,cosmetics,mascara,lipstick,confusion
marriage,engagement,divorce,vow,anxiety
math,arithmetic,calculus,algebra,management
meat,butcher,raw,steak,actor
memory,remember,recall,reminiscence,trees
metal,steel,aluminum,tin,bedroom
middle,center,central,between,chick
milk,dairy,quart,calcium,tomato
minus,plus,subtract,subtraction,graduation
mirror,reflection,reflect,vanity,sword
monkey,chimpanzee,ape,gorilla,fever
mountain,climber,hill,climb,customer
mouse,rat,squeak,cat,philosophy
movie,cinema,film,theater,growth
music,band,harp,concert,conflict
neat,tidy,orderly,organize,banana
neck,giraffe,throat,scarf,depth
needle,thread,syringe,haystack,income
newspaper,article,editorial,editor,agreement
normal,abnormal,regular,average,duty
north,south,direction,compass,diner
nose,snot,sinus,ears,device
ocean,waves,sea,reef,badge
often,frequent,seldom,frequency,bourbon
orange,tangerine,juice,peel,crab
oven,toaster,microwave,stove,sausage
pain,agony,hurt,ache,confession
pants,trousers,slacks,zipper,theme
parent,guardian,strict,family,ashes
park,lot,trailer,meter,excitement
pencil,pen,eraser,lead,assistance
penny,cent,copper,coin,compliment
period,comma,punctuation,monthly,cape
piano,keyboard,organ,grand,charity
picture,frame,portrait,photo,offense
piece,chunk,slice,part,curiosity
pizza,pepperoni,tombstone,hut,ghetto
plan,strategy,scheme,blueprint,murderer
plane,airport,pilot,jet,globe
planet,uranus,jupiter,neptune,democracy
poem,sonnet,rhyme,prose,appearance
